,PMID,DOIS,DESTINATION
10,36822739,https://www.doi.org/10.1053/j.ajkd.2022.12.001,https://linkinghub.elsevier.com/
33,37314770,https://www.doi.org/10.2215/CJN.0000000000000221,https://journals.lww.com/
55,37081637,https://www.doi.org/10.2215/CJN.0000000000000183,https://journals.lww.com/
77,36428134,https://www.doi.org/10.1053/j.ajkd.2022.09.007,https://linkinghub.elsevier.com/
101,36759239,https://www.doi.org/10.1053/j.ajkd.2022.11.002,https://linkinghub.elsevier.com/
106,37589626,https://www.doi.org/10.1053/j.ajkd.2023.07.004,https://linkinghub.elsevier.com/
115,36528464,https://www.doi.org/10.1053/j.ajkd.2022.10.004,https://linkinghub.elsevier.com/
146,36775203,https://www.doi.org/10.1016/j.ajt.2023.02.013,https://linkinghub.elsevier.com/
147,36153151,https://www.doi.org/10.1053/j.ajkd.2022.07.002,https://linkinghub.elsevier.com/
156,37499685,https://www.doi.org/10.2215/CJN.0000000000000268,https://journals.lww.com/
164,37526983,https://www.doi.org/10.1681/ASN.0000000000000162,https://journals.lww.com/
188,37801688,https://www.doi.org/10.2215/CJN.0000000000000338,https://journals.lww.com/
219,37737748,https://www.doi.org/10.1053/j.ajkd.2023.08.001,https://linkinghub.elsevier.com/
282,37318401,https://www.doi.org/10.1053/j.ajkd.2023.05.001,https://linkinghub.elsevier.com/
291,35842013,https://www.doi.org/10.1053/j.ajkd.2022.05.014,https://linkinghub.elsevier.com/
301,38081406,https://www.doi.org/10.1053/j.ajkd.2023.12.001,https://linkinghub.elsevier.com/
315,37907451,https://www.doi.org/10.1681/ASN.0000000000000251,https://journals.lww.com/
319,36795086,https://www.doi.org/10.2215/CJN.0000000000000091,https://journals.lww.com/
343,37523307,https://www.doi.org/10.2215/CJN.0000000000000272,https://journals.lww.com/
345,38127033,https://www.doi.org/10.1053/j.ajkd.2023.11.001,https://linkinghub.elsevier.com/
356,36750034,https://www.doi.org/10.2215/CJN.0000000000000084,https://journals.lww.com/
360,37024155,https://www.doi.org/10.1016/j.ajt.2023.01.014,https://linkinghub.elsevier.com/
366,36914585,https://www.doi.org/10.2215/CJN.0000000000000125,https://journals.lww.com/
385,35810826,https://www.doi.org/10.1053/j.ajkd.2022.05.013,https://linkinghub.elsevier.com/
394,36735373,https://www.doi.org/10.1681/ASN.0000000000000032,https://journals.lww.com/
395,37656451,https://www.doi.org/10.2215/CJN.0000000000000311,https://journals.lww.com/
397,37778869,https://www.doi.org/10.1016/j.ajt.2023.05.028,https://linkinghub.elsevier.com/
400,37314774,https://www.doi.org/10.2215/CJN.0000000000000227,https://journals.lww.com/
401,37782546,https://www.doi.org/10.1681/ASN.0000000000000206,https://journals.lww.com/
414,37934632,https://www.doi.org/10.2215/CJN.0000000000000372,https://journals.lww.com/
417,36723176,https://www.doi.org/10.2215/CJN.0000000000000078,https://journals.lww.com/
419,37052952,https://www.doi.org/10.1681/ASN.0000000000000131,https://journals.lww.com/
422,37394267,https://www.doi.org/10.1016/j.ajt.2023.06.004,https://linkinghub.elsevier.com/
423,37733367,https://www.doi.org/10.1681/ASN.0000000000000223,https://journals.lww.com/
424,36918385,https://www.doi.org/10.1681/ASN.0000000000000119,https://journals.lww.com/
427,36550624,https://www.doi.org/10.1097/TP.0000000000004476,https://journals.lww.com/
429,36586559,https://www.doi.org/10.1053/j.ajkd.2022.11.008,https://linkinghub.elsevier.com/
430,37870881,https://www.doi.org/10.1097/TP.0000000000004733,https://journals.lww.com/
431,37230254,https://www.doi.org/10.1016/j.ajt.2023.05.019,https://linkinghub.elsevier.com/
439,37939208,https://www.doi.org/10.2215/CJN.0000000000000245,https://journals.lww.com/
442,37220171,https://www.doi.org/10.2215/CJN.0000000000000209,https://journals.lww.com/
444,37163584,https://www.doi.org/10.2215/CJN.0000000000000197,https://journals.lww.com/
446,37130621,https://www.doi.org/10.1016/j.ajt.2023.01.013,https://linkinghub.elsevier.com/
448,37876239,https://www.doi.org/10.1681/ASN.0000000000000254,https://journals.lww.com/
449,36906296,https://www.doi.org/10.1016/j.ajt.2022.10.010,https://linkinghub.elsevier.com/
451,36455682,https://www.doi.org/10.1053/j.ajkd.2022.09.020,https://linkinghub.elsevier.com/
455,37573131,https://www.doi.org/10.1016/j.ajt.2023.01.015,https://linkinghub.elsevier.com/
456,38010153,https://www.doi.org/10.1097/TP.0000000000004761,https://journals.lww.com/
458,36965828,https://www.doi.org/10.1053/j.ajkd.2023.01.445,https://linkinghub.elsevier.com/
459,37642955,https://www.doi.org/10.2215/CJN.0000000000000303,https://journals.lww.com/
461,37004914,https://www.doi.org/10.1016/j.ajt.2023.03.021,https://linkinghub.elsevier.com/
462,36976655,https://www.doi.org/10.2215/CJN.0000000000000137,https://journals.lww.com/
463,36328100,https://www.doi.org/10.1053/j.ajkd.2022.09.011,https://linkinghub.elsevier.com/
466,36283810,https://www.doi.org/10.1681/ASN.2022060685,https://journals.lww.com/
469,36932020,https://www.doi.org/10.1016/j.ajt.2023.03.002,https://linkinghub.elsevier.com/
470,37516300,https://www.doi.org/10.1053/j.ajkd.2023.04.011,https://linkinghub.elsevier.com/
471,38108673,https://www.doi.org/10.1053/j.ajkd.2023.10.004,https://linkinghub.elsevier.com/
472,38150244,https://www.doi.org/10.2215/CJN.0000000000000419,https://journals.lww.com/
473,38109091,https://www.doi.org/10.2215/CJN.0000000000000400,https://journals.lww.com/
476,37801686,https://www.doi.org/10.2215/CJN.0000000000000341,https://journals.lww.com/
477,36148606,https://www.doi.org/10.1111/ajt.17201,https://linkinghub.elsevier.com/
478,36344210,https://www.doi.org/10.2215/CJN.09430822,https://journals.lww.com/
479,37659834,https://www.doi.org/10.1016/j.ajt.2023.01.017,https://linkinghub.elsevier.com/
480,38096088,https://www.doi.org/10.1681/ASN.0000000000000289,https://journals.lww.com/
481,36754002,https://www.doi.org/10.2215/CJN.0000000000000055,https://journals.lww.com/
482,38039089,https://www.doi.org/10.1681/ASN.0000000000000230,https://journals.lww.com/
483,37921833,https://www.doi.org/10.1681/ASN.0000000000000208,https://journals.lww.com/
484,38039090,https://www.doi.org/10.1681/ASN.0000000000000231,https://journals.lww.com/
485,37678741,https://www.doi.org/10.1053/j.ajkd.2023.07.010,https://linkinghub.elsevier.com/
486,36795033,https://www.doi.org/10.2215/CJN.0000000000000092,https://journals.lww.com/
488,37717845,https://www.doi.org/10.1053/j.ajkd.2023.06.008,https://linkinghub.elsevier.com/
489,37972815,https://www.doi.org/10.1053/j.ajkd.2023.10.006,https://linkinghub.elsevier.com/
490,38087445,https://www.doi.org/10.1681/ASN.0000000000000288,https://journals.lww.com/
491,37030585,https://www.doi.org/10.1053/j.ajkd.2023.01.453,https://linkinghub.elsevier.com/
492,37678742,https://www.doi.org/10.1053/j.ajkd.2023.08.002,https://linkinghub.elsevier.com/
493,37459117,https://www.doi.org/10.2215/CJN.0000000000000256,https://journals.lww.com/
494,37490295,https://www.doi.org/10.2215/CJN.0000000000000266,https://journals.lww.com/
495,37707829,https://www.doi.org/10.2215/CJN.0000000000000323,https://journals.lww.com/
496,36357127,https://www.doi.org/10.2215/CJN.09340822,https://journals.lww.com/
497,36719148,https://www.doi.org/10.1681/ASN.0000000000000018,https://journals.lww.com/
498,36220190,https://www.doi.org/10.2215/CJN.09460822,https://journals.lww.com/
499,38015564,https://www.doi.org/10.1681/ASN.0000000000000270,https://journals.lww.com/
527,36808841,https://www.doi.org/10.1097/TP.0000000000004354,https://journals.lww.com/
547,36314999,https://www.doi.org/10.1097/TP.0000000000004421,https://journals.lww.com/
549,36508651,https://www.doi.org/10.1097/TP.0000000000004457,https://journals.lww.com/
551,36253912,https://www.doi.org/10.1097/TP.0000000000004364,https://journals.lww.com/
554,36949031,https://www.doi.org/10.1097/TP.0000000000004575,https://journals.lww.com/
555,36808845,https://www.doi.org/10.1097/TP.0000000000004473,https://journals.lww.com/
560,35969003,https://www.doi.org/10.1097/TP.0000000000004327,https://journals.lww.com/
568,37122085,https://www.doi.org/10.1097/TP.0000000000004600,https://journals.lww.com/
572,36584367,https://www.doi.org/10.1097/TP.0000000000004417,https://journals.lww.com/
575,36706066,https://www.doi.org/10.1097/TP.0000000000004499,https://journals.lww.com/
576,37220336,https://www.doi.org/10.1097/TP.0000000000004479,https://journals.lww.com/
586,37309031,https://www.doi.org/10.1097/TP.0000000000004688,https://journals.lww.com/
592,37389648,https://www.doi.org/10.1097/TP.0000000000004716,https://journals.lww.com/
593,37677940,https://www.doi.org/10.1097/TP.0000000000004782,https://journals.lww.com/
605,36199169,https://www.doi.org/10.1097/TP.0000000000004375,https://journals.lww.com/
